,id,name,review_count,categories,rating,coordinates,price,location
40,riT822EnU7y_5eCuJsd9sA,Cindy's Rooftop,2270,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,"{'latitude': 41.8816894031196, 'longitude': -87.6250061730162}",$$,"{'address1': '12 S Michigan Ave', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60603', 'country': 'US', 'state': 'IL', 'display_address': ['12 S Michigan Ave', 'Chicago, IL 60603']}"
41,m5_GCJP2W4zEJnyVgxa3eA,Longman & Eagle,2560,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'whiskeybars', 'title': 'Whiskey Bars'}]",4.0,"{'latitude': 41.930156679293, 'longitude': -87.707222394898}",$$,"{'address1': '2657 N Kedzie Ave', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60647', 'country': 'US', 'state': 'IL', 'display_address': ['2657 N Kedzie Ave', 'Chicago, IL 60647']}"
42,dro6ttzG0H2PlES0gI8LIg,Tortello,405,"[{'alias': 'pastashops', 'title': 'Pasta Shops'}, {'alias': 'italian', 'title': 'Italian'}]",4.5,"{'latitude': 41.90343739642855, 'longitude': -87.67186413269891}",$$,"{'address1': '1746 W Division St', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60622', 'country': 'US', 'state': 'IL', 'display_address': ['1746 W Division St', 'Chicago, IL 60622']}"
43,ruWJerAc9VW23GvegYddnQ,Gaijin,604,"[{'alias': 'japanese', 'title': 'Japanese'}]",4.5,"{'latitude': 41.88583, 'longitude': -87.65182}",$$,"{'address1': '950 W Lake St', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60607', 'country': 'US', 'state': 'IL', 'display_address': ['950 W Lake St', 'Chicago, IL 60607']}"
44,DeNcVk-vHsRj2f7aovoaLg,Jack’s Wicker Park,68,"[{'alias': 'french', 'title': 'French'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.0,"{'latitude': 41.90346, 'longitude': -87.67947}",,"{'address1': '2056 W Division St', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60622', 'country': 'US', 'state': 'IL', 'display_address': ['2056 W Division St', 'Chicago, IL 60622']}"
45,XHGWwHgX9p8dn2nOhqfJoQ,Little Wok Wicker Park,109,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",4.0,"{'latitude': 41.90351, 'longitude': -87.6768}",$$,"{'address1': '1950 W Division St', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60622', 'country': 'US', 'state': 'IL', 'display_address': ['1950 W Division St', 'Chicago, IL 60622']}"
46,KVXeukiPVOwrOMuD4mM7ug,Tandoor Char House,12,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'pakistani', 'title': 'Pakistani'}, {'alias': 'halal', 'title': 'Halal'}]",4.5,"{'latitude': 41.90009, 'longitude': -87.68733}",,"{'address1': '1022 N Western Ave', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60622', 'country': 'US', 'state': 'IL', 'display_address': ['1022 N Western Ave', 'Chicago, IL 60622']}"
47,8YZUf9XTc9Z2jW5adHE5nA,Shabu Plus Rotary Hot Pot Wicker Park,73,"[{'alias': 'hotpot', 'title': 'Hot Pot'}]",4.5,"{'latitude': 41.9062306, 'longitude': -87.6713937}",$$$,"{'address1': '1352 N Milwaukee Ave', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60622', 'country': 'US', 'state': 'IL', 'display_address': ['1352 N Milwaukee Ave', 'Chicago, IL 60622']}"
48,EYjyi_lytYaM1Ty7-kNKSg,Phodega,245,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'hainan', 'title': 'Hainan'}, {'alias': 'noodles', 'title': 'Noodles'}]",4.5,"{'latitude': 41.90334127310094, 'longitude': -87.6758734}",$$,"{'address1': '1924 W Division St', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60622', 'country': 'US', 'state': 'IL', 'display_address': ['1924 W Division St', 'Chicago, IL 60622']}"
49,UzksnYYQvh2tThSGTqUslA,2AM Izakaya,31,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'chinese', 'title': 'Chinese'}]",4.5,"{'latitude': 41.92228, 'longitude': -87.64465}",,"{'address1': '2218 N Lincoln Ave', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60614', 'country': 'US', 'state': 'IL', 'display_address': ['2218 N Lincoln Ave', 'Chicago, IL 60614']}"
