,category
501,"Ice Cream + Frozen Yogurt, Burgers, Chicken, American"
502,"American, Burgers, Fast Food"
503,"American, Burgers, Fast Food"
504,"American, Comfort Food, Convenience, Snacks, Everyday Essentials"
505,"American, Breakfast &amp; Brunch, Comfort Food, Family Meals"
506,"American, Breakfast and Brunch, Cafe, Omelette, Traditional American"
507,"American, Fried Chicken"
508,"American, Fast Food, wings"
509,"American, Steak, BBQ"
510,"Juice and Smoothies, Healthy, Fast Food"
511,Burgers
512,"Breakfast and Brunch, salad, Sandwich, Family Meals, Pizza, Healthy, American, Chicken"
513,"American, Burgers, Fast Food, Fast Food"
514,"American, Burgers, Fast Food"
515,"American, burger, Fast Food, Family Meals"
516,"American, Fried Chicken, Family Meals, Southern, Sandwich, Fast Food"
517,"American, Burgers"
518,"Bakery, Breakfast and Brunch, Cafe, Coffee &amp; Tea"
519,"American, Bar Food, BBQ, burger, Chicken Strips, Comfort Food, Dinner, pasta, salad, Sandwich, Soup, Steak, Traditional American, wings"
520,"Pharmacy, Convenience, Everyday Essentials, Baby"
521,"Burritos, Fast Food, Mexican"
522,"Fast Food, Sandwich, American"
523,"American, Bar Food, BBQ, burger, Chicken Strips, Comfort Food, Dinner, pasta, salad, Sandwich, Soup, Steak, Traditional American, wings"
524,"American, Breakfast and Brunch, Burgers, Chicken, Fast Food, Sandwich"
525,"American, Breakfast and Brunch, Cafe, Omelette, Traditional American, Family Meals"
526,"American, burger, Fast Food"
527,"American, Fast Food, wings, Family Meals"
528,"Burritos, Fast Food, Mexican"
529,"Everyday Essentials, Grocery, Convenience, Home &amp; Personal Care, Snacks, Pizza, American"
530,"Desserts, PIzza, Wings"
531,"Sandwich, Deli"
532,"Seafood, Fast Food, Fish and Chips, American, Family Meals"
533,"Japanese, Asian, Sushi"
534,"Healthy, Mexican"
535,"Mexican, Latin American, New Mexican"
536,"Burgers, American, Sandwiches"
537,"American, burger, Fast Food, Family Meals"
538,"Breakfast &amp; Brunch, Donuts"
539,"Sandwiches, American, Healthy"
540,"American, Bar Food, Wings, Fast Food, Chicken, Family Meals, Exclusive to Eats, Comfort Food"
541,"Pizza, American, Italian"
542,"Seafood, American, Family Meals"
543,"Seafood, Fast Food, Fish and Chips, American, Family Meals"
544,"Burgers, American, Sandwiches, Exclusive to Eats"
545,"American, Fast Food, wings"
546,"American, burger"
547,"Italian, Pizza, Pasta, Family Meals"
548,"Fast Food, Italian, pizza, wings"
549,"American, Bar Food, BBQ, burger, Chicken Strips, Comfort Food, Dinner, pasta, salad, Sandwich, Soup, Steak, Traditional American, wings"
550,"American, Comfort Food, Deli, Desserts, Dinner, Fast Food, pizza, salad, Sandwich, Convenience, Snacks, Everyday Essentials"
